"Date,""Open"",""High"",""Low"",""Close"",""Result ‌CCI‌ (20)"""
"Mon Jan 04 2021 13:45:00 GMT+0530 (India Standard Time),""15169.25"",""15178.45"",""15163.95"",""15172.75"",""-12.31"""
"Mon Jan 04 2021 14:00:00 GMT+0530 (India Standard Time),""15172.80"",""15174.75"",""15122.40"",""15149.30"",""-45.70"""
"Mon Jan 04 2021 14:15:00 GMT+0530 (India Standard Time),""15149.85"",""15150.25"",""15109.10"",""15144.80"",""-65.73"""
"Mon Jan 04 2021 14:30:00 GMT+0530 (India Standard Time),""15144.65"",""15180.60"",""15137.20"",""15170.75"",""-9.28"""
"Mon Jan 04 2021 14:45:00 GMT+0530 (India Standard Time),""15169.35"",""15181.20"",""15159.15"",""15177.80"",""25.61"""
"Mon Jan 04 2021 15:00:00 GMT+0530 (India Standard Time),""15177.35"",""15199.00"",""15177.35"",""15184.85"",""82.02"""
"Mon Jan 04 2021 15:15:00 GMT+0530 (India Standard Time),""15184.25"",""15220.00"",""15180.40"",""15217.85"",""158.29"""
"Tue Jan 05 2021 09:15:00 GMT+0530 (India Standard Time),""15159.30"",""15197.95"",""15109.65"",""15189.20"",""41.09"""
"Tue Jan 05 2021 09:30:00 GMT+0530 (India Standard Time),""15188.55"",""15201.60"",""15174.05"",""15200.75"",""125.21"""
"Tue Jan 05 2021 09:45:00 GMT+0530 (India Standard Time),""15199.35"",""15219.70"",""15180.30"",""15180.30"",""122.39"""
"Tue Jan 05 2021 10:00:00 GMT+0530 (India Standard Time),""15180.25"",""15189.30"",""15160.70"",""15167.90"",""35.12"""
"Tue Jan 05 2021 10:15:00 GMT+0530 (India Standard Time),""15166.60"",""15181.40"",""15145.65"",""15170.80"",""3.00"""
"Tue Jan 05 2021 10:30:00 GMT+0530 (India Standard Time),""15170.55"",""15193.15"",""15169.30"",""15180.75"",""65.10"""
"Tue Jan 05 2021 10:45:00 GMT+0530 (India Standard Time),""15179.10"",""15213.40"",""15170.70"",""15205.55"",""122.78"""
"Tue Jan 05 2021 11:00:00 GMT+0530 (India Standard Time),""15206.05"",""15264.95"",""15205.85"",""15248.85"",""251.84"""
"Tue Jan 05 2021 11:15:00 GMT+0530 (India Standard Time),""15248.00"",""15278.00"",""15241.85"",""15260.90"",""246.90"""
"Tue Jan 05 2021 11:30:00 GMT+0530 (India Standard Time),""15261.50"",""15272.15"",""15237.45"",""15261.90"",""188.35"""
"Tue Jan 05 2021 11:45:00 GMT+0530 (India Standard Time),""15261.95"",""15263.30"",""15229.10"",""15244.65"",""135.17"""
"Tue Jan 05 2021 12:00:00 GMT+0530 (India Standard Time),""15245.50"",""15259.35"",""15233.05"",""15249.35"",""120.09"""
"Tue Jan 05 2021 12:15:00 GMT+0530 (India Standard Time),""15249.45"",""15259.00"",""15237.45"",""15245.15"",""103.20"""
"Tue Jan 05 2021 12:30:00 GMT+0530 (India Standard Time),""15245.20"",""15287.90"",""15245.10"",""15279.30"",""128.35"""
"Tue Jan 05 2021 12:45:00 GMT+0530 (India Standard Time),""15278.65"",""15285.45"",""15271.80"",""15284.20"",""126.49"""
