"Date,""Open"",""High"",""Low"",""Close"",""Result ‌CCI‌ (20)"""
"Fri Jun 14 2024 15:00:00 GMT+0530 (India Standard Time),""22428.10"",""22446.90"",""22396.75"",""22419.40"",""125.55"""
"Fri Jun 14 2024 15:15:00 GMT+0530 (India Standard Time),""22420.55"",""22423.80"",""22379.40"",""22400.85"",""-8.40"""
"Tue Jun 18 2024 09:15:00 GMT+0530 (India Standard Time),""22486.10"",""22491.60"",""22355.25"",""22387.05"",""62.72"""
"Tue Jun 18 2024 09:30:00 GMT+0530 (India Standard Time),""22386.00"",""22477.50"",""22382.35"",""22463.35"",""228.89"""
"Tue Jun 18 2024 09:45:00 GMT+0530 (India Standard Time),""22464.70"",""22517.65"",""22461.05"",""22511.50"",""373.02"""
"Tue Jun 18 2024 10:00:00 GMT+0530 (India Standard Time),""22512.70"",""22514.85"",""22487.95"",""22488.25"",""260.80"""
"Tue Jun 18 2024 10:15:00 GMT+0530 (India Standard Time),""22489.35"",""22512.55"",""22450.80"",""22474.15"",""161.81"""
"Tue Jun 18 2024 10:30:00 GMT+0530 (India Standard Time),""22473.70"",""22514.15"",""22473.40"",""22502.30"",""164.56"""
"Tue Jun 18 2024 10:45:00 GMT+0530 (India Standard Time),""22502.25"",""22517.20"",""22495.45"",""22505.75"",""148.95"""
"Tue Jun 18 2024 11:00:00 GMT+0530 (India Standard Time),""22504.50"",""22509.95"",""22482.80"",""22506.30"",""115.45"""
"Tue Jun 18 2024 11:15:00 GMT+0530 (India Standard Time),""22506.20"",""22523.90"",""22498.65"",""22508.45"",""114.88"""
"Tue Jun 18 2024 11:30:00 GMT+0530 (India Standard Time),""22508.40"",""22521.50"",""22502.05"",""22514.85"",""103.06"""
"Tue Jun 18 2024 11:45:00 GMT+0530 (India Standard Time),""22515.85"",""22526.05"",""22505.20"",""22519.60"",""96.16"""
"Tue Jun 18 2024 12:00:00 GMT+0530 (India Standard Time),""22519.60"",""22523.65"",""22507.20"",""22511.85"",""82.64"""
"Tue Jun 18 2024 12:15:00 GMT+0530 (India Standard Time),""22510.95"",""22518.30"",""22502.95"",""22506.80"",""68.95"""
"Tue Jun 18 2024 12:30:00 GMT+0530 (India Standard Time),""22505.95"",""22519.60"",""22497.10"",""22515.05"",""65.28"""
"Tue Jun 18 2024 12:45:00 GMT+0530 (India Standard Time),""22511.30"",""22520.15"",""22505.35"",""22514.80"",""65.25"""
"Tue Jun 18 2024 13:00:00 GMT+0530 (India Standard Time),""22516.25"",""22525.00"",""22513.15"",""22521.20"",""72.61"""
"Tue Jun 18 2024 13:15:00 GMT+0530 (India Standard Time),""22520.30"",""22534.00"",""22515.30"",""22524.00"",""78.07"""
"Tue Jun 18 2024 13:30:00 GMT+0530 (India Standard Time),""22523.90"",""22545.80"",""22521.00"",""22543.55"",""101.61"""
"Tue Jun 18 2024 13:45:00 GMT+0530 (India Standard Time),""22544.15"",""22562.80"",""22540.35"",""22556.70"",""143.12"""
"Tue Jun 18 2024 14:00:00 GMT+0530 (India Standard Time),""22557.65"",""22561.50"",""22543.90"",""22551.60"",""147.06"""
"Tue Jun 18 2024 14:15:00 GMT+0530 (India Standard Time),""22551.65"",""22562.90"",""22542.50"",""22551.25"",""152.84"""
"Tue Jun 18 2024 14:30:00 GMT+0530 (India Standard Time),""22551.50"",""22556.00"",""22533.55"",""22545.30"",""113.34"""
"Tue Jun 18 2024 14:45:00 GMT+0530 (India Standard Time),""22545.55"",""22560.95"",""22542.95"",""22555.95"",""125.36"""
"Tue Jun 18 2024 15:00:00 GMT+0530 (India Standard Time),""22556.20"",""22581.40"",""22553.90"",""22581.40"",""162.57"""
"Tue Jun 18 2024 15:15:00 GMT+0530 (India Standard Time),""22581.90"",""22633.85"",""22579.40"",""22595.90"",""214.04"""
"Wed Jun 19 2024 09:15:00 GMT+0530 (India Standard Time),""22657.55"",""22731.65"",""22586.50"",""22677.25"",""292.93"""
"Wed Jun 19 2024 09:30:00 GMT+0530 (India Standard Time),""22676.15"",""22750.60"",""22650.15"",""22750.10"",""297.81"""
"Wed Jun 19 2024 09:45:00 GMT+0530 (India Standard Time),""22748.15"",""22821.45"",""22718.00"",""22800.20"",""277.00"""
"Wed Jun 19 2024 10:00:00 GMT+0530 (India Standard Time),""22800.45"",""22837.45"",""22770.80"",""22780.60"",""216.40"""
"Wed Jun 19 2024 10:15:00 GMT+0530 (India Standard Time),""22783.30"",""22787.65"",""22658.95"",""22658.95"",""103.32"""
"Wed Jun 19 2024 10:30:00 GMT+0530 (India Standard Time),""22660.95"",""22690.60"",""22605.80"",""22673.10"",""54.77"""
"Wed Jun 19 2024 10:45:00 GMT+0530 (India Standard Time),""22671.35"",""22786.20"",""22650.75"",""22766.45"",""105.75"""
"Wed Jun 19 2024 11:00:00 GMT+0530 (India Standard Time),""22765.95"",""22813.05"",""22744.75"",""22767.00"",""118.66"""
"Wed Jun 19 2024 11:15:00 GMT+0530 (India Standard Time),""22767.25"",""22788.15"",""22708.35"",""22744.40"",""86.35"""
"Wed Jun 19 2024 11:30:00 GMT+0530 (India Standard Time),""22744.15"",""22803.45"",""22734.40"",""22791.30"",""96.75"""
"Wed Jun 19 2024 11:45:00 GMT+0530 (India Standard Time),""22790.55"",""22810.05"",""22779.80"",""22784.35"",""97.89"""
"Wed Jun 19 2024 12:00:00 GMT+0530 (India Standard Time),""22785.95"",""22813.40"",""22766.80"",""22813.40"",""93.06"""
"Wed Jun 19 2024 12:15:00 GMT+0530 (India Standard Time),""22817.20"",""22849.55"",""22806.80"",""22814.15"",""101.81"""
"Wed Jun 19 2024 12:30:00 GMT+0530 (India Standard Time),""22812.70"",""22835.95"",""22808.60"",""22819.40"",""92.85"""
"Wed Jun 19 2024 12:45:00 GMT+0530 (India Standard Time),""22820.10"",""22841.85"",""22795.90"",""22814.65"",""84.09"""
"Wed Jun 19 2024 13:00:00 GMT+0530 (India Standard Time),""22816.20"",""22828.05"",""22791.20"",""22825.95"",""77.25"""
"Wed Jun 19 2024 13:15:00 GMT+0530 (India Standard Time),""22826.35"",""22829.70"",""22797.15"",""22828.30"",""76.23"""
"Wed Jun 19 2024 13:30:00 GMT+0530 (India Standard Time),""22826.50"",""22879.45"",""22824.10"",""22858.25"",""106.91"""
"Wed Jun 19 2024 13:45:00 GMT+0530 (India Standard Time),""22858.10"",""22926.05"",""22841.00"",""22920.75"",""150.51"""
"Wed Jun 19 2024 14:00:00 GMT+0530 (India Standard Time),""22921.25"",""22996.50"",""22912.35"",""22987.70"",""222.13"""
"Wed Jun 19 2024 14:15:00 GMT+0530 (India Standard Time),""22988.05"",""23054.50"",""22953.80"",""23034.60"",""240.26"""
"Wed Jun 19 2024 14:30:00 GMT+0530 (India Standard Time),""23036.50"",""23154.25"",""23026.90"",""23104.05"",""256.29"""
"Wed Jun 19 2024 14:45:00 GMT+0530 (India Standard Time),""23105.15"",""23127.35"",""22967.60"",""22976.85"",""150.48"""
"Wed Jun 19 2024 15:00:00 GMT+0530 (India Standard Time),""22976.35"",""22982.20"",""22877.50"",""22948.20"",""70.13"""
"Wed Jun 19 2024 15:15:00 GMT+0530 (India Standard Time),""22946.80"",""22968.85"",""22928.55"",""22950.65"",""70.19"""
"Thu Jun 20 2024 09:15:00 GMT+0530 (India Standard Time),""23065.45"",""23065.60"",""22927.35"",""22943.25"",""80.61"""
"Thu Jun 20 2024 09:30:00 GMT+0530 (India Standard Time),""22939.90"",""22972.45"",""22898.10"",""22938.50"",""42.40"""
"Thu Jun 20 2024 09:45:00 GMT+0530 (India Standard Time),""22940.35"",""22949.50"",""22818.25"",""22861.85"",""-8.32"""
"Thu Jun 20 2024 10:00:00 GMT+0530 (India Standard Time),""22863.75"",""22867.60"",""22835.80"",""22838.45"",""-38.48"""
"Thu Jun 20 2024 10:15:00 GMT+0530 (India Standard Time),""22837.90"",""22910.95"",""22819.25"",""22906.30"",""-16.57"""
