"Date,""Open"",""High"",""Low"",""Close"",""Result ‌CCI‌ (20)"""
"Wed Jan 06 2021 12:45:00 GMT+0530 (India Standard Time),""14199.55"",""14207.90"",""14188.30"",""14193.70"",""-8.15"""
"Wed Jan 06 2021 13:00:00 GMT+0530 (India Standard Time),""14193.35"",""14204.80"",""14177.15"",""14178.15"",""-87.21"""
"Wed Jan 06 2021 13:15:00 GMT+0530 (India Standard Time),""14179.05"",""14201.10"",""14162.50"",""14183.20"",""-130.22"""
"Wed Jan 06 2021 13:30:00 GMT+0530 (India Standard Time),""14184.50"",""14187.10"",""14125.15"",""14155.30"",""-296.59"""
"Wed Jan 06 2021 13:45:00 GMT+0530 (India Standard Time),""14154.80"",""14154.80"",""14091.00"",""14122.20"",""-343.21"""
"Wed Jan 06 2021 14:00:00 GMT+0530 (India Standard Time),""14121.85"",""14127.60"",""14040.10"",""14074.85"",""-329.50"""
"Wed Jan 06 2021 14:15:00 GMT+0530 (India Standard Time),""14073.60"",""14119.80"",""14063.25"",""14108.35"",""-206.48"""
"Wed Jan 06 2021 14:30:00 GMT+0530 (India Standard Time),""14108.60"",""14138.25"",""14078.85"",""14137.10"",""-126.84"""
"Wed Jan 06 2021 14:45:00 GMT+0530 (India Standard Time),""14138.25"",""14151.85"",""14130.90"",""14144.50"",""-66.07"""
"Wed Jan 06 2021 15:00:00 GMT+0530 (India Standard Time),""14145.20"",""14166.35"",""14137.65"",""14148.85"",""-43.70"""
"Wed Jan 06 2021 15:15:00 GMT+0530 (India Standard Time),""14148.25"",""14157.90"",""14124.05"",""14134.05"",""-59.55"""
"Thu Jan 07 2021 09:15:00 GMT+0530 (India Standard Time),""14253.75"",""14253.75"",""14219.00"",""14222.10"",""106.23"""
"Thu Jan 07 2021 09:30:00 GMT+0530 (India Standard Time),""14222.95"",""14223.70"",""14208.50"",""14215.70"",""77.82"""
"Thu Jan 07 2021 09:45:00 GMT+0530 (India Standard Time),""14215.05"",""14237.00"",""14214.45"",""14223.45"",""92.08"""
"Thu Jan 07 2021 10:00:00 GMT+0530 (India Standard Time),""14223.50"",""14224.60"",""14195.75"",""14203.10"",""61.92"""
"Thu Jan 07 2021 10:15:00 GMT+0530 (India Standard Time),""14203.20"",""14215.20"",""14176.10"",""14184.75"",""36.35"""
"Thu Jan 07 2021 10:30:00 GMT+0530 (India Standard Time),""14184.80"",""14192.40"",""14173.70"",""14178.20"",""19.14"""
